id;name;category_id
403;Dispozitive medicale ortopedice, proteze, orteze;26
404;Ecografie, radiografie si imagistica medicala;26
405;Ingrijire medicala la domiciliu;26
406;Ambulante private;26
407;Medicina alternativa;26
408;Implant / Transplant par;26
409;Alte servicii medicale;26
410;Ginecologie si obstetrica;26
411;Alte activitati indoor;27
412;Personal trainer;27
413;Articole sportive si echipamente;27
414;Sali pentru fitness si bodybuilding;27
415;Terenuri si spatii de sport (outdoor);27
416;Activitati in sali de sport (indoor);27
417;Circuite;27
418;Jocuri de interior;27
419;Alte activitati outdoor;27
420;Pescuit;27
421;Vanatoare;27
422;Cursuri sportive;27
423;Case de expeditii;28
424;Dispecer/dispecerate;28
425;Transport aerian;28
426;Transport feroviar;28
427;Transport naval;28
428;Transport marfă;28
429;Transport agabaritic;28
430;Transport substante periculoase;28
431;Transport persoane;28
432;Distributie;28
433;Curierat;28
434;Tractari auto;28
435;Transport auto;28
436;Transport persoane ocazional;28
437;Insotire - escortare transport agabaritic;28
438;Carsharing;28
439;Taximetrie;28
440;Food delivery;28
441;Curier dedicate;28
442;Alte servicii de transport;28
443;Transport nisip, piatra si moloz;28
444;Mutări;28
445;Transport frigorific;28
446;Transport animale vii;28
447;Cazare;29
448;Drink & Party;29
449;Food & Drink;29
450;Domenii schiabile;29
451;Muzee;29
452;Gradini botanice;29
453;Parcuri de distractii;29
454;Parcuri de aventura;29
455;Croaziere;29
456;Drumetii;29
457;Ghid turistic;29
458;Aquapark si strand;29
459;Alte locuri de interes;29
460;Agenții de turism;29
461;Comunicatii;30
462;Deszapezire;30
463;Depozitare;30
464;Arhivare documente;30
465;Automate de cafea si alte produse;30
466;Traduceri;30
467;Jocuri de noroc;30
468;Callcenter;30
469;Chei si deblocari;30
470;Handmade;30
471;Florarie si aranjamente florale;30
472;Alte servicii diverse;30
473;Tehnoredactare;30
